,station,avg trips
0,Grove St PATH,6733.0
1,Exchange Place,3608.75
2,Hamilton Park,3127.0
3,Sip Ave,2476.3333333333335
4,Newport PATH,2159.6666666666665
5,Morris Canal,1885.0
6,Warren St,1534.6666666666667
7,Newark Ave,1444.4166666666667
8,City Hall,1439.1666666666667
9,Newport Pkwy,1422.5
10,Van Vorst Park,1409.6666666666667
11,Harborside,1373.6666666666667
12,Paulus Hook,1351.5
13,Essex Light Rail,1328.6666666666667
14,Marin Light Rail,1322.4166666666667
15,Brunswick St,1166.75
16,Columbus Drive,1152.0
17,Jersey & 3rd,1145.25
18,Liberty Light Rail,1134.5833333333333
19,Brunswick & 6th,1022.3333333333334
20,Jersey & 6th St,1005.1666666666666
21,JC Medical Center,916.6666666666666
22,Washington St,889.3333333333334
23,McGinley Square,861.6666666666666
24,Manila & 1st,859.25
25,Dixon Mills,858.75
26,Monmouth and 6th,854.25
27,Oakland Ave,682.1666666666666
28,Baldwin at Montgomery,565.9166666666666
29,Pershing Field,442.0
30,Journal Square,423.6666666666667
31,Lincoln Park,416.6666666666667
32,Lafayette Park,381.6666666666667
33,Astor Place,359.4166666666667
34,Hilltop,355.25
35,York St,353.2
36,Christ Hospital,329.75
37,5 Corners Library,318.0
38,Heights Elevator,315.75
39,Riverview Park,265.0833333333333
40,Leonard Gordon Park,263.8333333333333
41,Dey St,248.5
42,Central Ave,234.28571428571428
43,North St,226.14285714285714
44,Garfield Ave Station,188.5
45,Communipaw & Berry Lane,149.75
46,Union St,120.91666666666667
47,NJCU,71.25
48,West Side Light Rail,60.916666666666664
49,Danforth Light Rail,44.75
50,Columbia Park,42.333333333333336
51,MLK Light Rail,36.75
52,Bayside Park,33.083333333333336
53,JCBS Depot,13.0
54,Bethune Center,10.083333333333334
