station,1,2,3,4,5,6,7,8,9,10,11,12
5 Corners Library,179.0,221.0,223.0,341.0,425.0,432.0,474.0,461.0,407.0,338.0,179.0,136.0
Astor Place,222.0,218.0,182.0,231.0,274.0,412.0,433.0,557.0,494.0,544.0,406.0,340.0
Baldwin at Montgomery,309.0,288.0,277.0,553.0,656.0,774.0,880.0,819.0,685.0,744.0,452.0,354.0
Bayside Park,,6.0,12.0,37.0,52.0,53.0,72.0,71.0,30.0,31.0,14.0,19.0
Bethune Center,2.0,4.0,4.0,19.0,14.0,9.0,4.0,10.0,18.0,30.0,,7.0
Brunswick & 6th,608.0,629.0,591.0,755.0,1071.0,1261.0,1277.0,1356.0,1457.0,1447.0,1109.0,707.0
Brunswick St,631.0,737.0,666.0,1017.0,1288.0,1511.0,1555.0,1656.0,1668.0,1625.0,992.0,655.0
Central Ave,180.0,225.0,156.0,231.0,292.0,263.0,293.0,,,,,
Christ Hospital,119.0,186.0,153.0,276.0,338.0,429.0,506.0,528.0,437.0,525.0,266.0,194.0
City Hall,905.0,1104.0,839.0,1345.0,1607.0,1935.0,1894.0,1817.0,1860.0,1916.0,1173.0,875.0
Columbia Park,37.0,37.0,37.0,48.0,51.0,60.0,60.0,70.0,42.0,31.0,21.0,14.0
Columbus Drive,500.0,605.0,478.0,1013.0,1304.0,1765.0,1887.0,1812.0,1492.0,1382.0,970.0,616.0
Communipaw & Berry Lane,54.0,23.0,72.0,106.0,130.0,170.0,218.0,289.0,262.0,222.0,151.0,100.0
Danforth Light Rail,28.0,23.0,25.0,43.0,60.0,88.0,88.0,78.0,52.0,40.0,7.0,5.0
Dey St,145.0,171.0,108.0,220.0,288.0,350.0,304.0,355.0,313.0,361.0,230.0,137.0
Dixon Mills,637.0,718.0,543.0,688.0,889.0,1047.0,1083.0,1171.0,997.0,1171.0,802.0,559.0
Essex Light Rail,669.0,695.0,608.0,1163.0,1512.0,1954.0,1904.0,2142.0,1841.0,1798.0,1038.0,620.0
Exchange Place,2011.0,1945.0,1869.0,3221.0,3953.0,5178.0,4846.0,5680.0,4731.0,4657.0,3144.0,2070.0
Garfield Ave Station,83.0,93.0,117.0,278.0,181.0,247.0,285.0,331.0,238.0,215.0,115.0,79.0
Grove St PATH,3881.0,3804.0,3570.0,5215.0,7070.0,8577.0,8439.0,9728.0,9084.0,9823.0,6832.0,4773.0
Hamilton Park,1610.0,1576.0,1454.0,2474.0,2793.0,4035.0,4206.0,4485.0,4459.0,4838.0,3361.0,2233.0
Harborside,,,,,,,,,,1752.0,1471.0,898.0
Heights Elevator,101.0,140.0,144.0,265.0,329.0,360.0,454.0,506.0,555.0,510.0,269.0,156.0
Hilltop,203.0,160.0,153.0,266.0,421.0,483.0,540.0,531.0,513.0,510.0,275.0,208.0
JC Medical Center,427.0,450.0,299.0,1002.0,1020.0,1269.0,1435.0,1269.0,1289.0,1289.0,768.0,483.0
JCBS Depot,,,,,,10.0,,,,16.0,,
Jersey & 3rd,643.0,749.0,627.0,847.0,1115.0,1300.0,1441.0,1643.0,1598.0,1713.0,1265.0,802.0
Jersey & 6th St,596.0,686.0,526.0,813.0,1127.0,1237.0,1224.0,1328.0,1416.0,1429.0,987.0,693.0
Journal Square,,,,,,,,,,600.0,386.0,285.0
Lafayette Park,121.0,172.0,170.0,320.0,421.0,653.0,641.0,591.0,512.0,521.0,301.0,157.0
Leonard Gordon Park,64.0,81.0,81.0,198.0,238.0,314.0,344.0,483.0,367.0,468.0,316.0,212.0
Liberty Light Rail,396.0,562.0,484.0,1230.0,1476.0,1676.0,1796.0,1955.0,1539.0,1346.0,722.0,433.0
Lincoln Park,222.0,205.0,133.0,484.0,534.0,555.0,640.0,574.0,543.0,524.0,355.0,231.0
MLK Light Rail,23.0,23.0,21.0,44.0,64.0,38.0,41.0,31.0,52.0,50.0,35.0,19.0
Manila & 1st,483.0,519.0,476.0,730.0,858.0,1032.0,1207.0,1156.0,1203.0,1239.0,794.0,614.0
Marin Light Rail,653.0,818.0,687.0,1190.0,1588.0,1760.0,2045.0,2051.0,1782.0,1610.0,1019.0,666.0
McGinley Square,564.0,528.0,447.0,699.0,917.0,1091.0,1203.0,1271.0,1161.0,1147.0,768.0,544.0
Monmouth and 6th,550.0,542.0,565.0,854.0,913.0,1081.0,1042.0,1101.0,1025.0,1135.0,834.0,609.0
Morris Canal,1119.0,1158.0,916.0,1625.0,1936.0,2442.0,2546.0,2771.0,2556.0,2648.0,1661.0,1242.0
NJCU,53.0,72.0,44.0,99.0,85.0,52.0,53.0,61.0,122.0,131.0,58.0,25.0
Newark Ave,733.0,970.0,740.0,1300.0,1548.0,1887.0,2157.0,2103.0,2019.0,1836.0,1177.0,863.0
Newport PATH,1031.0,1068.0,983.0,1931.0,2259.0,2902.0,3031.0,3140.0,2978.0,3012.0,2171.0,1410.0
Newport Pkwy,460.0,681.0,502.0,1483.0,1675.0,1988.0,2171.0,2401.0,1797.0,1773.0,1252.0,887.0
North St,103.0,105.0,112.0,235.0,250.0,373.0,405.0,,,,,
Oakland Ave,425.0,415.0,402.0,674.0,750.0,915.0,849.0,954.0,892.0,912.0,589.0,409.0
Paulus Hook,658.0,797.0,593.0,1172.0,1436.0,1830.0,1915.0,1802.0,1787.0,2012.0,1363.0,853.0
Pershing Field,215.0,222.0,264.0,390.0,449.0,556.0,528.0,617.0,631.0,666.0,463.0,303.0
Riverview Park,98.0,110.0,66.0,192.0,212.0,371.0,383.0,470.0,519.0,430.0,211.0,119.0
Sip Ave,1528.0,1621.0,1449.0,2224.0,2657.0,3150.0,3436.0,3394.0,3093.0,3171.0,2351.0,1642.0
Union St,99.0,68.0,35.0,108.0,135.0,124.0,193.0,247.0,129.0,140.0,100.0,73.0
Van Vorst Park,713.0,848.0,672.0,1232.0,1462.0,1801.0,2033.0,1942.0,2026.0,2000.0,1294.0,893.0
Warren St,694.0,899.0,771.0,1393.0,1697.0,2199.0,2575.0,2601.0,1919.0,1702.0,1220.0,746.0
Washington St,,,,,,,,,,1163.0,962.0,543.0
West Side Light Rail,56.0,66.0,39.0,61.0,51.0,78.0,71.0,93.0,69.0,80.0,37.0,30.0
York St,,,,,,,,227.0,410.0,470.0,407.0,252.0
