,rebal from,rebal to,count
0,Grove St PATH,Hamilton Park,2029
1,Exchange Place,Morris Canal,1902
2,Grove St PATH,Morris Canal,1349
3,Grove St PATH,Jersey & 6th St,1132
4,Exchange Place,Hamilton Park,1014
5,Morris Canal,Exchange Place,1007
6,Grove St PATH,Brunswick St,839
7,Grove St PATH,McGinley Square,771
8,Grove St PATH,Van Vorst Park,765
9,Hamilton Park,Grove St PATH,725
10,Grove St PATH,Brunswick & 6th,709
11,Grove St PATH,Jersey & 3rd,697
12,Grove St PATH,Newark Ave,660
13,Exchange Place,Marin Light Rail,580
14,Exchange Place,Van Vorst Park,567
15,Grove St PATH,Dixon Mills,562
16,Grove St PATH,Monmouth and 6th,529
17,Morris Canal,Grove St PATH,513
18,Exchange Place,Jersey & 6th St,468
19,Grove St PATH,Exchange Place,425
20,Hamilton Park,Exchange Place,410
21,Exchange Place,Brunswick St,399
22,Marin Light Rail,Grove St PATH,396
23,Grove St PATH,Oakland Ave,366
24,Marin Light Rail,Exchange Place,343
